State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,362.35,328.04,336.33,376.38,390.21,372.07,367.71,366.21,351.67,340.60,345.37,346.18,353.60,348.99,348.28,347.84,346.25,342.88,333.90,330.35,312.14,307.98,303.50
Baden-Wurttemberg,296.03,260.23,274.15,312.38,337.99,325.74,319.14,316.16,314.84,296.28,307.75,317.28,326.16,326.01,324.57,330.12,333.44,328.88,327.72,333.84,306.38,296.19,298.72
Bavaria,276.94,279.33,287.83,341.53,371.34,342.98,341.41,331.16,318.97,308.72,314.85,309.97,326.37,322.72,315.83,311.03,317.96,317.36,313.62,310.21,286.74,277.90,276.53
Berlin,319.70,304.98,306.90,315.57,336.16,341.62,316.85,330.25,326.42,313.30,313.01,324.93,320.44,317.03,299.38,314.01,304.31,304.44,301.46,293.03,301.11,286.98,289.59
Brandenburg,391.99,371.69,401.29,428.77,437.47,436.09,411.98,413.93,370.82,368.97,365.31,363.11,379.77,341.91,349.30,350.29,356.39,364.37,328.20,327.91,317.85,318.43,302.84
Bremen,413.03,407.30,388.40,437.99,446.92,457.16,442.06,443.03,397.56,397.96,425.59,414.34,438.74,400.09,393.01,380.53,394.39,384.41,340.93,343.39,346.05,375.33,359.82
Hamburg,365.82,302.62,279.17,307.46,295.67,287.39,279.08,286.51,254.12,265.83,287.36,324.01,321.42,308.66,301.23,312.89,304.67,296.77,282.47,276.48,262.15,264.46,260.01
Hesse,357.86,294.09,298.98,347.13,357.97,344.78,332.33,328.71,330.90,325.38,336.05,336.06,329.75,338.37,345.09,337.65,339.77,332.69,306.86,307.59,292.55,283.80,272.22
Mecklenburg Western Pomerania,410.94,395.24,380.30,391.93,389.80,388.38,382.21,384.61,349.71,328.97,334.55,345.99,355.25,341.49,362.51,349.85,336.48,369.68,362.92,354.97,365.90,370.42,359.06
Lower Saxony,399.66,350.20,354.97,416.90,432.36,415.10,413.03,411.04,406.09,377.87,381.34,386.98,380.75,376.09,367.40,380.30,368.87,360.99,347.97,339.84,317.79,322.86,320.34
North Rhine-Westphalia,383.38,341.25,358.01,386.96,396.70,379.98,382.65,386.44,362.73,351.02,353.15,350.30,358.14,359.25,364.25,354.18,349.43,338.00,329.79,323.75,308.18,310.65,302.31
Rhineland-Palatinate,421.90,365.58,369.73,424.43,428.08,408.33,405.92,403.99,396.64,391.82,396.41,371.72,375.08,362.16,370.73,373.88,367.02,363.60,351.50,342.83,318.63,315.36,314.78
Saarland,556.11,443.72,445.54,453.54,523.05,456.09,492.76,485.46,470.70,447.12,472.71,469.22,484.54,485.13,477.53,462.53,485.19,455.41,443.96,432.98,434.73,405.21,388.61
Saxony,366.75,350.41,362.06,373.46,362.39,328.92,326.19,316.13,307.71,314.15,314.55,319.43,337.38,312.74,315.07,317.11,318.62,314.40,321.86,317.28,305.90,289.73,277.58
Saxony Anhalt,433.52,391.89,374.38,419.35,429.23,434.64,442.33,446.33,419.22,402.97,417.16,408.23,421.40,404.24,422.82,416.11,405.72,401.74,384.34,369.73,345.85,345.86,334.75
Schleswig-Holstein,371.35,333.98,324.56,403.14,398.25,364.66,347.64,333.53,323.34,329.32,321.54,323.79,325.70,337.38,306.80,320.52,313.88,337.31,331.27,337.10,318.65,306.63,320.56
Thuringia,404.99,395.06,424.48,463.28,463.20,432.21,412.68,407.46,380.67,378.06,360.19,364.55,381.05,374.24,368.29,385.61,374.69,384.56,372.24,368.52,356.63,365.15,345.20
