Unnamed: 0,2005,2009,2013,2017,20211)
Baden-Württemberg,12.2,13.3,14.132009793307905,14.857788786009941,15.138703092336456
Bayern,12.9,14.0,14.83980013936869,15.18869508156694,15.32670054684676
Berlin,12.1,12.2,12.977207977207978,13.021415270018622,13.781480577176172
Brandenburg,15.6,17.3,17.909189449596536,18.275426825217565,18.205096939397635
Bremen,10.7,12.8,14.645308924485125,17.800536454523286,17.335166934066777
Hamburg,10.1,10.5,11.126629422718807,12.222678718159408,12.65098217212598
Hessen,13.0,14.7,15.722741170860331,16.103792642330784,16.648213973544667
Mecklenburg-Vorpommern,19.3,19.6,20.55890410958904,21.793119161540215,21.200733944954127
Niedersachsen,12.4,14.0,15.531491105565603,16.57784275810027,18.361087196341533
Nordrhein-Westfalen,13.7,14.8,16.19491673290553,16.52932873925858,17.74023734462326
Rheinland-Pfalz,14.3,15.5,17.045257499566496,17.652208167374276,18.271132797046025
Saarland,14.3,15.6,15.968939905469279,16.25,18.466835810076116
Sachsen,15.6,16.3,16.84700773890815,18.010691965966423,17.0574049284587
Sachsen-Anhalt,18.0,19.0,20.19643953345611,20.771447572600312,18.858842767528014
Schleswig-Holstein,12.3,13.3,14.39626502941929,15.376142033305255,17.263885231905913
Thüringen,16.2,17.3,18.12789351851852,20.44733262807919,19.139401190319276
